route_id,trip_id,stop_sequence,stop_name,arrival_time,departure_time,time:timestamp
FR-07,175063-0,1,PIMS Hospital,18:30:00,18:30:00,2024-01-01 18:30:00+05:00
FR-07,175063-0,2,Children Hospital,18:31:00,18:31:20,2024-01-01 18:31:00+05:00
FR-07,175063-0,3,NORI Hospital,18:33:59,18:34:19,2024-01-01 18:33:59+05:00
FR-07,175063-0,4,Dental Hospital,18:36:19,18:36:39,2024-01-01 18:36:19+05:00
FR-07,175063-0,5,G-8 Markaz,18:36:49,18:36:59,2024-01-01 18:36:49+05:00
FR-07,175063-0,6,Development Park,18:37:19,18:37:39,2024-01-01 18:37:19+05:00
FR-07,175063-0,7,Chaman Metro Station,18:39:28,18:39:48,2024-01-01 18:39:28+05:00
FR-07,175063-0,8,G-9/4,18:41:24,18:41:44,2024-01-01 18:41:24+05:00
FR-07,175063-0,9,Karachi Company,18:43:24,18:43:44,2024-01-01 18:43:24+05:00
FR-07,175063-0,10,G-9 Markaz,18:44:34,18:44:54,2024-01-01 18:44:34+05:00
FR-07,175063-0,11,Police Flats,18:46:29,18:46:49,2024-01-01 18:46:29+05:00
FR-07,175063-0,12,College Morh,18:49:19,18:49:39,2024-01-01 18:49:19+05:00
FR-07,175063-0,13,G-10 Markaz,18:52:09,18:52:29,2024-01-01 18:52:09+05:00
FR-07,175063-0,14,PHA Flats,18:54:59,18:55:19,2024-01-01 18:54:59+05:00
FR-07,175063-0,15,Tanki Stop,18:56:09,18:56:29,2024-01-01 18:56:09+05:00
FR-07,175063-0,16,G-10/G-11,18:57:19,18:57:39,2024-01-01 18:57:19+05:00
FR-07,175063-0,17,Institute of Modern Studies,18:58:34,18:58:54,2024-01-01 18:58:34+05:00
FR-07,175063-0,18,G-11 Markaz,19:00:24,19:00:44,2024-01-01 19:00:24+05:00
FR-07,175063-0,19,Mehrabad,19:04:26,19:04:46,2024-01-01 19:04:26+05:00
FR-07,175063-0,20,Nust Metro Station,19:10:10,19:10:30,2024-01-01 19:10:10+05:00
FR-07,175063-0,21,Bar Council,19:12:40,19:13:00,2024-01-01 19:12:40+05:00
FR-07,175063-0,22,A.K Bari Road,19:13:50,19:14:10,2024-01-01 19:13:50+05:00
FR-07,175063-0,23,Police Foundation Metro,19:17:20,19:17:20,2024-01-01 19:17:20+05:00
FR-07,175064-0,1,PIMS Hospital,06:10:00,06:10:00,2024-01-01 06:10:00+05:00
FR-07,175064-0,2,Children Hospital,06:11:00,06:11:20,2024-01-01 06:11:00+05:00
FR-07,175064-0,3,NORI Hospital,06:13:59,06:14:19,2024-01-01 06:13:59+05:00
FR-07,175064-0,4,Dental Hospital,06:16:19,06:16:39,2024-01-01 06:16:19+05:00
FR-07,175064-0,5,G-8 Markaz,06:16:49,06:16:59,2024-01-01 06:16:49+05:00
FR-07,175064-0,6,Development Park,06:17:19,06:17:39,2024-01-01 06:17:19+05:00
FR-07,175064-0,7,Chaman Metro Station,06:19:28,06:19:48,2024-01-01 06:19:28+05:00
FR-07,175064-0,8,G-9/4,06:21:24,06:21:44,2024-01-01 06:21:24+05:00
FR-07,175064-0,9,Karachi Company,06:23:24,06:23:44,2024-01-01 06:23:24+05:00
FR-07,175064-0,10,G-9 Markaz,06:24:34,06:24:54,2024-01-01 06:24:34+05:00
FR-07,175064-0,11,Police Flats,06:26:29,06:26:49,2024-01-01 06:26:29+05:00
FR-07,175064-0,12,College Morh,06:29:19,06:29:39,2024-01-01 06:29:19+05:00
FR-07,175064-0,13,G-10 Markaz,06:32:09,06:32:29,2024-01-01 06:32:09+05:00
FR-07,175064-0,14,PHA Flats,06:34:59,06:35:19,2024-01-01 06:34:59+05:00
FR-07,175064-0,15,Tanki Stop,06:36:09,06:36:29,2024-01-01 06:36:09+05:00
FR-07,175064-0,16,G-10/G-11,06:37:19,06:37:39,2024-01-01 06:37:19+05:00
FR-07,175064-0,17,Institute of Modern Studies,06:38:34,06:38:54,2024-01-01 06:38:34+05:00
FR-07,175064-0,18,G-11 Markaz,06:40:24,06:40:44,2024-01-01 06:40:24+05:00
FR-07,175064-0,19,Mehrabad,06:44:26,06:44:46,2024-01-01 06:44:26+05:00
FR-07,175064-0,20,Nust Metro Station,06:50:10,06:50:30,2024-01-01 06:50:10+05:00
FR-07,175064-0,21,Bar Council,06:52:40,06:53:00,2024-01-01 06:52:40+05:00
FR-07,175064-0,22,A.K Bari Road,06:53:50,06:54:10,2024-01-01 06:53:50+05:00
FR-07,175064-0,23,Police Foundation Metro,06:57:20,06:57:20,2024-01-01 06:57:20+05:00
FR-07,175065-0,1,PIMS Hospital,10:20:00,10:20:00,2024-01-01 10:20:00+05:00
FR-07,175065-0,2,Children Hospital,10:21:00,10:21:20,2024-01-01 10:21:00+05:00
FR-07,175065-0,3,NORI Hospital,10:23:59,10:24:19,2024-01-01 10:23:59+05:00
FR-07,175065-0,4,Dental Hospital,10:26:19,10:26:39,2024-01-01 10:26:19+05:00
FR-07,175065-0,5,G-8 Markaz,10:26:49,10:26:59,2024-01-01 10:26:49+05:00
FR-07,175065-0,6,Development Park,10:27:19,10:27:39,2024-01-01 10:27:19+05:00
FR-07,175065-0,7,Chaman Metro Station,10:29:28,10:29:48,2024-01-01 10:29:28+05:00
FR-07,175065-0,8,G-9/4,10:31:24,10:31:44,2024-01-01 10:31:24+05:00
FR-07,175065-0,9,Karachi Company,10:33:24,10:33:44,2024-01-01 10:33:24+05:00
FR-07,175065-0,10,G-9 Markaz,10:34:34,10:34:54,2024-01-01 10:34:34+05:00
FR-07,175065-0,11,Police Flats,10:36:29,10:36:49,2024-01-01 10:36:29+05:00
FR-07,175065-0,12,College Morh,10:39:19,10:39:39,2024-01-01 10:39:19+05:00
FR-07,175065-0,13,G-10 Markaz,10:42:09,10:42:29,2024-01-01 10:42:09+05:00
FR-07,175065-0,14,PHA Flats,10:44:59,10:45:19,2024-01-01 10:44:59+05:00
FR-07,175065-0,15,Tanki Stop,10:46:09,10:46:29,2024-01-01 10:46:09+05:00
FR-07,175065-0,16,G-10/G-11,10:47:19,10:47:39,2024-01-01 10:47:19+05:00
FR-07,175065-0,17,Institute of Modern Studies,10:48:34,10:48:54,2024-01-01 10:48:34+05:00
FR-07,175065-0,18,G-11 Markaz,10:50:24,10:50:44,2024-01-01 10:50:24+05:00
FR-07,175065-0,19,Mehrabad,10:54:26,10:54:46,2024-01-01 10:54:26+05:00
FR-07,175065-0,20,Nust Metro Station,11:00:10,11:00:30,2024-01-01 11:00:10+05:00
FR-07,175065-0,21,Bar Council,11:02:40,11:03:00,2024-01-01 11:02:40+05:00
FR-07,175065-0,22,A.K Bari Road,11:03:50,11:04:10,2024-01-01 11:03:50+05:00
FR-07,175065-0,23,Police Foundation Metro,11:07:20,11:07:20,2024-01-01 11:07:20+05:00
FR-07,175066-0,1,PIMS Hospital,14:30:00,14:30:00,2024-01-01 14:30:00+05:00
FR-07,175066-0,2,Children Hospital,14:31:00,14:31:20,2024-01-01 14:31:00+05:00
FR-07,175066-0,3,NORI Hospital,14:33:59,14:34:19,2024-01-01 14:33:59+05:00
FR-07,175066-0,4,Dental Hospital,14:36:19,14:36:39,2024-01-01 14:36:19+05:00
FR-07,175066-0,5,G-8 Markaz,14:36:49,14:36:59,2024-01-01 14:36:49+05:00
FR-07,175066-0,6,Development Park,14:37:19,14:37:39,2024-01-01 14:37:19+05:00
FR-07,175066-0,7,Chaman Metro Station,14:39:28,14:39:48,2024-01-01 14:39:28+05:00
FR-07,175066-0,8,G-9/4,14:41:24,14:41:44,2024-01-01 14:41:24+05:00
FR-07,175066-0,9,Karachi Company,14:43:24,14:43:44,2024-01-01 14:43:24+05:00
FR-07,175066-0,10,G-9 Markaz,14:44:34,14:44:54,2024-01-01 14:44:34+05:00
FR-07,175066-0,11,Police Flats,14:46:29,14:46:49,2024-01-01 14:46:29+05:00
FR-07,175066-0,12,College Morh,14:49:19,14:49:39,2024-01-01 14:49:19+05:00
FR-07,175066-0,13,G-10 Markaz,14:52:09,14:52:29,2024-01-01 14:52:09+05:00
FR-07,175066-0,14,PHA Flats,14:54:59,14:55:19,2024-01-01 14:54:59+05:00
FR-07,175066-0,15,Tanki Stop,14:56:09,14:56:29,2024-01-01 14:56:09+05:00
FR-07,175066-0,16,G-10/G-11,14:57:19,14:57:39,2024-01-01 14:57:19+05:00
FR-07,175066-0,17,Institute of Modern Studies,14:58:34,14:58:54,2024-01-01 14:58:34+05:00
FR-07,175066-0,18,G-11 Markaz,15:00:24,15:00:44,2024-01-01 15:00:24+05:00
FR-07,175066-0,19,Mehrabad,15:04:26,15:04:46,2024-01-01 15:04:26+05:00
FR-07,175066-0,20,Nust Metro Station,15:10:10,15:10:30,2024-01-01 15:10:10+05:00
FR-07,175066-0,21,Bar Council,15:12:40,15:13:00,2024-01-01 15:12:40+05:00
FR-07,175066-0,22,A.K Bari Road,15:13:50,15:14:10,2024-01-01 15:13:50+05:00
FR-07,175066-0,23,Police Foundation Metro,15:17:20,15:17:20,2024-01-01 15:17:20+05:00
FR-07,175067-0,1,PIMS Hospital,18:40:00,18:40:00,2024-01-01 18:40:00+05:00
FR-07,175067-0,2,Children Hospital,18:41:00,18:41:20,2024-01-01 18:41:00+05:00
FR-07,175067-0,3,NORI Hospital,18:43:59,18:44:19,2024-01-01 18:43:59+05:00
FR-07,175067-0,4,Dental Hospital,18:46:19,18:46:39,2024-01-01 18:46:19+05:00
FR-07,175067-0,5,G-8 Markaz,18:46:49,18:46:59,2024-01-01 18:46:49+05:00
FR-07,175067-0,6,Development Park,18:47:19,18:47:39,2024-01-01 18:47:19+05:00
FR-07,175067-0,7,Chaman Metro Station,18:49:28,18:49:48,2024-01-01 18:49:28+05:00
FR-07,175067-0,8,G-9/4,18:51:24,18:51:44,2024-01-01 18:51:24+05:00
FR-07,175067-0,9,Karachi Company,18:53:24,18:53:44,2024-01-01 18:53:24+05:00
FR-07,175067-0,10,G-9 Markaz,18:54:34,18:54:54,2024-01-01 18:54:34+05:00
FR-07,175067-0,11,Police Flats,18:56:29,18:56:49,2024-01-01 18:56:29+05:00
FR-07,175067-0,12,College Morh,18:59:19,18:59:39,2024-01-01 18:59:19+05:00
FR-07,175067-0,13,G-10 Markaz,19:02:09,19:02:29,2024-01-01 19:02:09+05:00
FR-07,175067-0,14,PHA Flats,19:04:59,19:05:19,2024-01-01 19:04:59+05:00
FR-07,175067-0,15,Tanki Stop,19:06:09,19:06:29,2024-01-01 19:06:09+05:00
FR-07,175067-0,16,G-10/G-11,19:07:19,19:07:39,2024-01-01 19:07:19+05:00
FR-07,175067-0,17,Institute of Modern Studies,19:08:34,19:08:54,2024-01-01 19:08:34+05:00
FR-07,175067-0,18,G-11 Markaz,19:10:24,19:10:44,2024-01-01 19:10:24+05:00
FR-07,175067-0,19,Mehrabad,19:14:26,19:14:46,2024-01-01 19:14:26+05:00
FR-07,175067-0,20,Nust Metro Station,19:20:10,19:20:30,2024-01-01 19:20:10+05:00
FR-07,175067-0,21,Bar Council,19:22:40,19:23:00,2024-01-01 19:22:40+05:00
FR-07,175067-0,22,A.K Bari Road,19:23:50,19:24:10,2024-01-01 19:23:50+05:00
FR-07,175067-0,23,Police Foundation Metro,19:27:20,19:27:20,2024-01-01 19:27:20+05:00
FR-07,175068-0,1,PIMS Hospital,06:20:00,06:20:00,2024-01-01 06:20:00+05:00
FR-07,175068-0,2,Children Hospital,06:21:00,06:21:20,2024-01-01 06:21:00+05:00
FR-07,175068-0,3,NORI Hospital,06:23:59,06:24:19,2024-01-01 06:23:59+05:00
FR-07,175068-0,4,Dental Hospital,06:26:19,06:26:39,2024-01-01 06:26:19+05:00
FR-07,175068-0,5,G-8 Markaz,06:26:49,06:26:59,2024-01-01 06:26:49+05:00
FR-07,175068-0,6,Development Park,06:27:19,06:27:39,2024-01-01 06:27:19+05:00
FR-07,175068-0,7,Chaman Metro Station,06:29:28,06:29:48,2024-01-01 06:29:28+05:00
FR-07,175068-0,8,G-9/4,06:31:24,06:31:44,2024-01-01 06:31:24+05:00
FR-07,175068-0,9,Karachi Company,06:33:24,06:33:44,2024-01-01 06:33:24+05:00
FR-07,175068-0,10,G-9 Markaz,06:34:34,06:34:54,2024-01-01 06:34:34+05:00
FR-07,175068-0,11,Police Flats,06:36:29,06:36:49,2024-01-01 06:36:29+05:00
FR-07,175068-0,12,College Morh,06:39:19,06:39:39,2024-01-01 06:39:19+05:00
FR-07,175068-0,13,G-10 Markaz,06:42:09,06:42:29,2024-01-01 06:42:09+05:00
FR-07,175068-0,14,PHA Flats,06:44:59,06:45:19,2024-01-01 06:44:59+05:00
FR-07,175068-0,15,Tanki Stop,06:46:09,06:46:29,2024-01-01 06:46:09+05:00
FR-07,175068-0,16,G-10/G-11,06:47:19,06:47:39,2024-01-01 06:47:19+05:00
FR-07,175068-0,17,Institute of Modern Studies,06:48:34,06:48:54,2024-01-01 06:48:34+05:00
FR-07,175068-0,18,G-11 Markaz,06:50:24,06:50:44,2024-01-01 06:50:24+05:00
FR-07,175068-0,19,Mehrabad,06:54:26,06:54:46,2024-01-01 06:54:26+05:00
FR-07,175068-0,20,Nust Metro Station,07:00:10,07:00:30,2024-01-01 07:00:10+05:00
FR-07,175068-0,21,Bar Council,07:02:40,07:03:00,2024-01-01 07:02:40+05:00
FR-07,175068-0,22,A.K Bari Road,07:03:50,07:04:10,2024-01-01 07:03:50+05:00
FR-07,175068-0,23,Police Foundation Metro,07:07:20,07:07:20,2024-01-01 07:07:20+05:00
FR-07,175069-0,1,PIMS Hospital,10:30:00,10:30:00,2024-01-01 10:30:00+05:00
FR-07,175069-0,2,Children Hospital,10:31:00,10:31:20,2024-01-01 10:31:00+05:00
FR-07,175069-0,3,NORI Hospital,10:33:59,10:34:19,2024-01-01 10:33:59+05:00
FR-07,175069-0,4,Dental Hospital,10:36:19,10:36:39,2024-01-01 10:36:19+05:00
FR-07,175069-0,5,G-8 Markaz,10:36:49,10:36:59,2024-01-01 10:36:49+05:00
FR-07,175069-0,6,Development Park,10:37:19,10:37:39,2024-01-01 10:37:19+05:00
FR-07,175069-0,7,Chaman Metro Station,10:39:28,10:39:48,2024-01-01 10:39:28+05:00
FR-07,175069-0,8,G-9/4,10:41:24,10:41:44,2024-01-01 10:41:24+05:00
FR-07,175069-0,9,Karachi Company,10:43:24,10:43:44,2024-01-01 10:43:24+05:00
FR-07,175069-0,10,G-9 Markaz,10:44:34,10:44:54,2024-01-01 10:44:34+05:00
FR-07,175069-0,11,Police Flats,10:46:29,10:46:49,2024-01-01 10:46:29+05:00
FR-07,175069-0,12,College Morh,10:49:19,10:49:39,2024-01-01 10:49:19+05:00
FR-07,175069-0,13,G-10 Markaz,10:52:09,10:52:29,2024-01-01 10:52:09+05:00
FR-07,175069-0,14,PHA Flats,10:54:59,10:55:19,2024-01-01 10:54:59+05:00
FR-07,175069-0,15,Tanki Stop,10:56:09,10:56:29,2024-01-01 10:56:09+05:00
FR-07,175069-0,16,G-10/G-11,10:57:19,10:57:39,2024-01-01 10:57:19+05:00
FR-07,175069-0,17,Institute of Modern Studies,10:58:34,10:58:54,2024-01-01 10:58:34+05:00
FR-07,175069-0,18,G-11 Markaz,11:00:24,11:00:44,2024-01-01 11:00:24+05:00
FR-07,175069-0,19,Mehrabad,11:04:26,11:04:46,2024-01-01 11:04:26+05:00
FR-07,175069-0,20,Nust Metro Station,11:10:10,11:10:30,2024-01-01 11:10:10+05:00
FR-07,175069-0,21,Bar Council,11:12:40,11:13:00,2024-01-01 11:12:40+05:00
FR-07,175069-0,22,A.K Bari Road,11:13:50,11:14:10,2024-01-01 11:13:50+05:00
FR-07,175069-0,23,Police Foundation Metro,11:17:20,11:17:20,2024-01-01 11:17:20+05:00
FR-07,175070-0,1,PIMS Hospital,14:40:00,14:40:00,2024-01-01 14:40:00+05:00
FR-07,175070-0,2,Children Hospital,14:41:00,14:41:20,2024-01-01 14:41:00+05:00
FR-07,175070-0,3,NORI Hospital,14:43:59,14:44:19,2024-01-01 14:43:59+05:00
FR-07,175070-0,4,Dental Hospital,14:46:19,14:46:39,2024-01-01 14:46:19+05:00
FR-07,175070-0,5,G-8 Markaz,14:46:49,14:46:59,2024-01-01 14:46:49+05:00
FR-07,175070-0,6,Development Park,14:47:19,14:47:39,2024-01-01 14:47:19+05:00
FR-07,175070-0,7,Chaman Metro Station,14:49:28,14:49:48,2024-01-01 14:49:28+05:00
FR-07,175070-0,8,G-9/4,14:51:24,14:51:44,2024-01-01 14:51:24+05:00
FR-07,175070-0,9,Karachi Company,14:53:24,14:53:44,2024-01-01 14:53:24+05:00
FR-07,175070-0,10,G-9 Markaz,14:54:34,14:54:54,2024-01-01 14:54:34+05:00
FR-07,175070-0,11,Police Flats,14:56:29,14:56:49,2024-01-01 14:56:29+05:00
FR-07,175070-0,12,College Morh,14:59:19,14:59:39,2024-01-01 14:59:19+05:00
FR-07,175070-0,13,G-10 Markaz,15:02:09,15:02:29,2024-01-01 15:02:09+05:00
FR-07,175070-0,14,PHA Flats,15:04:59,15:05:19,2024-01-01 15:04:59+05:00
FR-07,175070-0,15,Tanki Stop,15:06:09,15:06:29,2024-01-01 15:06:09+05:00
FR-07,175070-0,16,G-10/G-11,15:07:19,15:07:39,2024-01-01 15:07:19+05:00
FR-07,175070-0,17,Institute of Modern Studies,15:08:34,15:08:54,2024-01-01 15:08:34+05:00
FR-07,175070-0,18,G-11 Markaz,15:10:24,15:10:44,2024-01-01 15:10:24+05:00
FR-07,175070-0,19,Mehrabad,15:14:26,15:14:46,2024-01-01 15:14:26+05:00
FR-07,175070-0,20,Nust Metro Station,15:20:10,15:20:30,2024-01-01 15:20:10+05:00
FR-07,175070-0,21,Bar Council,15:22:40,15:23:00,2024-01-01 15:22:40+05:00
FR-07,175070-0,22,A.K Bari Road,15:23:50,15:24:10,2024-01-01 15:23:50+05:00
FR-07,175070-0,23,Police Foundation Metro,15:27:20,15:27:20,2024-01-01 15:27:20+05:00
FR-07,175071-0,1,PIMS Hospital,18:50:00,18:50:00,2024-01-01 18:50:00+05:00
FR-07,175071-0,2,Children Hospital,18:51:00,18:51:20,2024-01-01 18:51:00+05:00
FR-07,175071-0,3,NORI Hospital,18:53:59,18:54:19,2024-01-01 18:53:59+05:00
FR-07,175071-0,4,Dental Hospital,18:56:19,18:56:39,2024-01-01 18:56:19+05:00
FR-07,175071-0,5,G-8 Markaz,18:56:49,18:56:59,2024-01-01 18:56:49+05:00
FR-07,175071-0,6,Development Park,18:57:19,18:57:39,2024-01-01 18:57:19+05:00
FR-07,175071-0,7,Chaman Metro Station,18:59:28,18:59:48,2024-01-01 18:59:28+05:00
FR-07,175071-0,8,G-9/4,19:01:24,19:01:44,2024-01-01 19:01:24+05:00
FR-07,175071-0,9,Karachi Company,19:03:24,19:03:44,2024-01-01 19:03:24+05:00
FR-07,175071-0,10,G-9 Markaz,19:04:34,19:04:54,2024-01-01 19:04:34+05:00
FR-07,175071-0,11,Police Flats,19:06:29,19:06:49,2024-01-01 19:06:29+05:00
FR-07,175071-0,12,College Morh,19:09:19,19:09:39,2024-01-01 19:09:19+05:00
FR-07,175071-0,13,G-10 Markaz,19:12:09,19:12:29,2024-01-01 19:12:09+05:00
FR-07,175071-0,14,PHA Flats,19:14:59,19:15:19,2024-01-01 19:14:59+05:00
FR-07,175071-0,15,Tanki Stop,19:16:09,19:16:29,2024-01-01 19:16:09+05:00
FR-07,175071-0,16,G-10/G-11,19:17:19,19:17:39,2024-01-01 19:17:19+05:00
FR-07,175071-0,17,Institute of Modern Studies,19:18:34,19:18:54,2024-01-01 19:18:34+05:00
FR-07,175071-0,18,G-11 Markaz,19:20:24,19:20:44,2024-01-01 19:20:24+05:00
FR-07,175071-0,19,Mehrabad,19:24:26,19:24:46,2024-01-01 19:24:26+05:00
FR-07,175071-0,20,Nust Metro Station,19:30:10,19:30:30,2024-01-01 19:30:10+05:00
FR-07,175071-0,21,Bar Council,19:32:40,19:33:00,2024-01-01 19:32:40+05:00
FR-07,175071-0,22,A.K Bari Road,19:33:50,19:34:10,2024-01-01 19:33:50+05:00
FR-07,175071-0,23,Police Foundation Metro,19:37:20,19:37:20,2024-01-01 19:37:20+05:00
FR-07,175072-0,1,PIMS Hospital,06:30:00,06:30:00,2024-01-01 06:30:00+05:00
FR-07,175072-0,2,Children Hospital,06:31:00,06:31:20,2024-01-01 06:31:00+05:00
FR-07,175072-0,3,NORI Hospital,06:33:59,06:34:19,2024-01-01 06:33:59+05:00
FR-07,175072-0,4,Dental Hospital,06:36:19,06:36:39,2024-01-01 06:36:19+05:00
FR-07,175072-0,5,G-8 Markaz,06:36:49,06:36:59,2024-01-01 06:36:49+05:00
FR-07,175072-0,6,Development Park,06:37:19,06:37:39,2024-01-01 06:37:19+05:00
FR-07,175072-0,7,Chaman Metro Station,06:39:28,06:39:48,2024-01-01 06:39:28+05:00
FR-07,175072-0,8,G-9/4,06:41:24,06:41:44,2024-01-01 06:41:24+05:00
